"filename", "language", "Markdown", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\QHS\Desktop\QuickLearn\blog-details\game_3.html", "HTML", 0, 250, 0, 0, 12, 26, 288
"c:\Users\QHS\Desktop\QuickLearn\blog-details\game_4.html", "HTML", 0, 250, 0, 0, 4, 27, 281
"c:\Users\QHS\Desktop\QuickLearn\blog-details\game_5.html", "HTML", 0, 250, 0, 0, 12, 24, 286
"c:\Users\QHS\Desktop\QuickLearn\blog-details\game_6.html", "HTML", 0, 250, 0, 0, 11, 26, 287
"c:\Users\QHS\Desktop\QuickLearn\blog-details\game_7.html", "HTML", 0, 250, 0, 0, 4, 26, 280
"c:\Users\QHS\Desktop\QuickLearn\blog-details\game_8.html", "HTML", 0, 250, 0, 0, 3, 26, 279
"c:\Users\QHS\Desktop\QuickLearn\blog-details\game_9.html", "HTML", 0, 250, 0, 0, 4, 26, 280
"c:\Users\QHS\Desktop\QuickLearn\blog-details\hak_1.html", "HTML", 0, 249, 0, 0, 6, 26, 281
"c:\Users\QHS\Desktop\QuickLearn\blog-details\hak_2.html", "HTML", 0, 250, 0, 0, 12, 26, 288
"c:\Users\QHS\Desktop\QuickLearn\blog-details\hak_3.html", "HTML", 0, 250, 0, 0, 12, 26, 288
"c:\Users\QHS\Desktop\QuickLearn\blog-details\hak_4.html", "HTML", 0, 250, 0, 0, 12, 25, 287
"c:\Users\QHS\Desktop\QuickLearn\blog-details\hak_5.html", "HTML", 0, 250, 0, 0, 12, 26, 288
"c:\Users\QHS\Desktop\QuickLearn\blog-details\hak_6.html", "HTML", 0, 250, 0, 0, 11, 27, 288
"c:\Users\QHS\Desktop\QuickLearn\blog-details\hak_7.html", "HTML", 0, 250, 0, 0, 11, 25, 286
"c:\Users\QHS\Desktop\QuickLearn\blog-details\hak_8.html", "HTML", 0, 250, 0, 0, 11, 26, 287
"c:\Users\QHS\Desktop\QuickLearn\blog-details\hak_9.html", "HTML", 0, 249, 0, 0, 12, 26, 287
"c:\Users\QHS\Desktop\QuickLearn\blog-details\veb_1.html", "HTML", 0, 252, 0, 0, 10, 33, 295
"c:\Users\QHS\Desktop\QuickLearn\blog-details\veb_2.html", "HTML", 0, 249, 0, 0, 12, 26, 287
"c:\Users\QHS\Desktop\QuickLearn\blog-details\veb_3.html", "HTML", 0, 249, 0, 0, 12, 26, 287
"c:\Users\QHS\Desktop\QuickLearn\blog-details\veb_4.html", "HTML", 0, 249, 0, 0, 12, 25, 286
"c:\Users\QHS\Desktop\QuickLearn\blog-details\veb_5.html", "HTML", 0, 249, 0, 0, 12, 26, 287
"c:\Users\QHS\Desktop\QuickLearn\blog-details\veb_6.html", "HTML", 0, 250, 0, 0, 10, 25, 285
"c:\Users\QHS\Desktop\QuickLearn\blog-details\veb_7.html", "HTML", 0, 249, 0, 0, 12, 27, 288
"c:\Users\QHS\Desktop\QuickLearn\blog-details\veb_8.html", "HTML", 0, 249, 0, 0, 12, 26, 287
"c:\Users\QHS\Desktop\QuickLearn\blog-details\veb_9.html", "HTML", 0, 250, 0, 0, 1, 26, 277
"c:\Users\QHS\Desktop\QuickLearn\blog-hak&protect-tab.html", "HTML", 0, 458, 0, 0, 9, 31, 498
"c:\Users\QHS\Desktop\QuickLearn\cart.html", "HTML", 0, 331, 0, 0, 1, 27, 359
"c:\Users\QHS\Desktop\QuickLearn\contact.html", "HTML", 0, 321, 0, 0, 5, 26, 352
"c:\Users\QHS\Desktop\QuickLearn\idea-for-programers.html", "HTML", 0, 294, 0, 0, 4, 29, 327
"c:\Users\QHS\Desktop\QuickLearn\pas-dadan-dore.html", "HTML", 0, 271, 0, 0, 1, 26, 298
"c:\Users\QHS\Desktop\QuickLearn\shop-details\shop-details-HTML5.html", "HTML", 0, 599, 0, 0, 5, 35, 639
"c:\Users\QHS\Desktop\QuickLearn\shop-details\shop-details-behine-python.html", "HTML", 0, 601, 0, 0, 12, 35, 648
"c:\Users\QHS\Desktop\QuickLearn\shop-details\shop-details-bootstrap.html", "HTML", 0, 611, 0, 0, 8, 36, 655
"c:\Users\QHS\Desktop\QuickLearn\shop-details\shop-details-css3.html", "HTML", 0, 607, 0, 0, 10, 34, 651
"c:\Users\QHS\Desktop\QuickLearn\shop-details\shop-details-flexbox.html", "HTML", 0, 602, 0, 0, 6, 34, 642
"c:\Users\QHS\Desktop\QuickLearn\shop-details\shop-details-game.html.html", "HTML", 0, 606, 0, 0, 9, 40, 655
"c:\Users\QHS\Desktop\QuickLearn\shop-details\shop-details-haker-0km.html", "HTML", 0, 602, 0, 0, 6, 34, 642
"c:\Users\QHS\Desktop\QuickLearn\shop-details\shop-details-illustrator.html", "HTML", 0, 606, 0, 0, 5, 43, 654
"c:\Users\QHS\Desktop\QuickLearn\shop-details\shop-details-jango.html", "HTML", 0, 600, 0, 0, 10, 36, 646
"c:\Users\QHS\Desktop\QuickLearn\shop-details\shop-details-js.html", "HTML", 0, 604, 0, 0, 9, 34, 647
"c:\Users\QHS\Desktop\QuickLearn\shop-details\shop-details-linux.html", "HTML", 0, 599, 0, 0, 9, 34, 642
"c:\Users\QHS\Desktop\QuickLearn\shop-details\shop-details-photoshop.html", "HTML", 0, 610, 0, 0, 6, 43, 659
"c:\Users\QHS\Desktop\QuickLearn\shop-details\shop-details-php.html", "HTML", 0, 600, 0, 0, 10, 34, 644
"c:\Users\QHS\Desktop\QuickLearn\shop-details\shop-details-python.html", "HTML", 0, 605, 0, 0, 9, 34, 648
"c:\Users\QHS\Desktop\QuickLearn\shop-details\shop-details-react.html", "HTML", 0, 604, 0, 0, 5, 38, 647
"c:\Users\QHS\Desktop\QuickLearn\shop-details\shop-details-tailwind.html", "HTML", 0, 608, 0, 0, 5, 33, 646
"c:\Users\QHS\Desktop\QuickLearn\shop.html", "HTML", 0, 969, 0, 0, 1, 41, 1011
"c:\Users\QHS\Desktop\QuickLearn\student-project.html", "HTML", 0, 422, 0, 0, 6, 32, 460
"c:\Users\QHS\Desktop\QuickLearn\wishlist.html", "HTML", 0, 318, 0, 0, 4, 29, 351
"Total", "-", 12, 24698, 1495, 13933, 1247, 3170, 44555
